Description,Real GDP of England at market prices,Real GDP of England at factor cost ,"Real UK GDP at market prices, geographically-consistent estimate based on post-1922 borders","Real UK GDP at factor cost, geographically-consistent estimate based on post-1922 borders","Index of real UK GDP at factor cost - based on changing political boundaries, ",Composite estimate of English and (geographically-consistent) UK real GDP at factor cost,HP-filter of log of real composite estimate of English and UK real GDP at factor cost,Export volumes,Import volumes,Nominal GDP of England at market prices,Nominal UK GDP at market prices,Nominal UK GDP at market prices.1,Population (GB+NI),Population (England),GDP deflator at market prices,Earnings per head,Consumer price index,Consumer price inflation,Real consumption wages,Wholesale/producer price index,Bank Rate,Bank Rate.1,Share prices,Bank of England Balance sheet,Bank of England Balance sheet.1,Coin in circulation outside the Bank of England,Public Sector Net Lending(+)/Borrowing(-),Public Sector Net Lending(+)/Borrowing(-).1,UK Public sector debt,UK Public sector debt.1,UK Public sector debt.2
1818,25756,21358,30128,26268,15.1436,1.7192,-2.19,1702,1459,377.98,462.06,519.26,14886,10957,1.53,0.55,1.52,-2.41,44.94,2.05,5,5,1.27,14.48,11.92,22.37,1.9,0.4,878,169.2,169.2
1819,25333,21000,29634,25837,14.9021,1.691,-5.56,1415,1191,352.32,431.34,486.83,15104,11122,1.46,0.54,1.46,-4.12,46.52,1.89,5,5,1.26,12.78,10.37,22.33,0.6,0.1,873,179.4,179.4
1820,27391,22703,32041,27936,16.1066,1.8283,0.35,1533,1280,357.26,437.52,493.96,15335,11268,1.37,0.53,1.36,-7.12,48.64,1.71,5,5,1.2,12.74,10.41,20.02,1.5,0.3,873,176.8,176.8
1821,27858,23087,32587,28412,16.3766,1.8595,0.02,1621,1195,341.81,419.09,474.56,15586,11457,1.29,0.5,1.26,-7.2,49.86,1.47,5,5,1.25,13.05,10.79,27.86,3.2,0.7,868,182.9,182.9
1822,28396,23531,33217,28961,16.6763,1.8954,-0.19,1655,1206,325.22,399.14,453,15844,11652,1.2,0.49,1.16,-7.69,53.16,1.3,4,4.42,1.36,12.24,9.92,32.1,3.4,0.8,879,194.1,194.1
1823,29233,24222,34196,29814,17.1502,1.9513,0.53,1642,1410,340.12,417.27,472.29,16098,11839,1.22,0.49,1.2,3.39,50.57,1.44,4,4,1.43,13.25,10.84,30.19,4.2,0.9,883,186.9,186.9
1824,30836,25549,36071,31449,18.0711,2.0583,3.67,1818,1477,366.04,448.76,506.08,16335,12017,1.24,0.49,1.25,4.18,49.01,1.5,4,4,1.72,13.09,11.32,34.2,4.2,0.8,873,172.5,172.5
1825,31532,26120,36885,32159,18.466,2.1047,3.72,1709,1847,404.97,495.94,556.48,16562,12208,1.34,0.5,1.32,5.37,47.23,1.67,5,4.08,1.62,12.4,10.76,41.2,3.6,0.6,860,154.5,154.5
1826,29848,24716,34915,30442,17.4806,1.9923,-3.93,1648,1547,354.07,434.65,490.96,16780,12374,1.24,0.5,1.26,-4.35,49.31,1.48,5,5,1.49,12.17,10.07,43.15,-0.9,-0.2,860,175.2,175.2
1827,32147,26618,37605,32787,18.8078,2.1458,1.3,1920,1787,368.46,452.22,509.78,16999,12528,1.2,0.49,1.2,-4.55,50.65,1.47,4,4.5,1.52,14.99,11.1,43.64,-1.2,-0.2,857,168.1,168.1
1828,32246,26693,37720,32887,18.8549,2.1524,-0.62,1954,1826,368.09,451.97,509.61,17238,12728,1.2,0.49,1.21,0.97,50.1,1.42,4,4,1.52,14.83,10.73,43.88,3,0.6,852,167.1,167.1
1829,32519,26914,38040,33166,19.0044,2.1706,-2.03,2103,1805,355.75,437.21,493.74,17473,12903,1.15,0.49,1.24,2.14,48.96,1.42,4,4,1.55,14.31,10.36,44.98,1.6,0.3,850,172.1,172.1
1830,33977,28116,39745,34653,19.8403,2.2679,0.06,2096,1893,369.25,453.72,511.41,17703,13074,1.14,0.48,1.2,-3.17,50.11,1.4,4,4,1.48,15.99,10.97,45.29,2.6,0.5,840,164.3,164.3
1831,35067,29032,40957,35765,20.4206,2.3407,0.88,2191,2048,363.33,446.55,503.01,17941,13254,1.09,0.48,1.22,1.27,49.77,1.41,4,4,1.4,15.48,10.57,45.65,-0.9,-0.2,838,166.6,166.6
1832,35214,29128,41180,35914,20.552,2.3505,-1.05,2361,1766,361.06,444.38,502.58,18143,13394,1.08,0.49,1.17,-3.53,51.76,1.35,4,4,1.5,15.76,9.89,46.19,0.5,0.1,838,166.8,166.8
1833,35652,29496,41641,36362,20.7861,2.3797,-2.18,2408,1858,352.97,434.55,491.71,18338,13565,1.04,0.49,1.13,-4.12,53.88,1.31,4,4,1.6,16.99,11,45.63,1.4,0.3,838,170.5,170.5
1834,36940,30577,43083,37675,21.4903,2.4657,-1,2537,2020,373.84,459.83,518.54,18562,13760,1.07,0.49,1.1,-2.47,55.38,1.28,4,4,1.65,17.05,11.45,44.39,1.5,0.3,834,160.9,160.9
1835,39260,32492,45695,40041,22.8411,2.6206,2.76,2781,2009,394.86,485.27,545.41,18798,13921,1.06,0.48,1.06,-3.51,56.91,1.25,4,4,1.77,16.03,10.1,42.43,-15.2,-2.8,846,155.1,155.1
1836,40197,33261,46899,40996,23.3888,2.6831,2.87,2910,2397,427.41,524.89,588.18,19035,14100,1.12,0.49,1.16,9.72,53.02,1.41,5,4.42,1.97,15.66,10.26,43.05,-1.4,-0.2,846,143.7,143.7
1837,39908,33022,46499,40702,23.2077,2.6638,0,2646,2249,414.78,509.84,572.7,19244,14261,1.1,0.5,1.2,3.62,52.01,1.39,5,5,2.08,14.04,8.83,39.21,-0.7,-0.1,842,147,147
1838,41865,34655,48750,42698,24.3022,2.7944,2.73,3127,2503,436.11,535.57,599.5,19460,14416,1.1,0.51,1.25,4.09,50.91,1.45,4,4.08,2.33,15.37,9.25,39.2,-0.4,-0.1,840,140.2,140.2
1839,42844,35500,49807,43696,24.7779,2.8598,3.07,3243,2665,453.99,557.09,621.69,19720,14594,1.12,0.52,1.29,3.29,50.05,1.54,6,5.17,2.3,14.2,8.12,39.32,-1.6,-0.3,839,135,135
1840,43014,35596,50031,43870,24.9678,2.8712,1.54,3412,2700,435.24,534.79,599.11,19971,14769,1.07,0.52,1.28,-0.97,50.81,1.51,5,5,2.51,12.91,7.5,36.6,-1.6,-0.3,839,140,140
1841,41708,34500,48661,42538,24.2312,2.784,-3.5,3561,2690,424.09,521.23,584.13,20198,14937,1.07,0.52,1.26,-1.82,51.75,1.44,5,5,2.46,13.95,7.61,33.46,-2.1,-0.4,841,143.9,143.9
1842,41400,34256,48237,42224,24.0293,2.7634,-6.3,3473,2556,402.1,494.24,554.76,20410,15073,1.02,0.52,1.19,-5.69,54.55,1.31,4,4.25,2.59,14.69,8.24,34.44,-4,-0.7,839,151.2,151.2
1843,42866,35377,49915,43718,25.126,2.8612,-5.04,3853,2605,399.66,492.57,558.52,20624,15264,0.99,0.51,1.09,-8.07,58.47,1.18,4,4,3,16.75,9.88,37.08,1.3,0.2,838,150.1,150.1
1844,46062,38158,53601,46978,26.7008,3.0746,-0.2,4172,2894,433.37,532.63,599.25,20836,15455,0.99,0.51,1.13,3.28,56.89,1.2,2.5,3.5,3.41,16.83,10.44,38.17,3.4,0.6,834,139.1,139.1
1845,48273,39956,56132,49233,28.0977,3.2221,2.06,4246,3236,460.47,566.23,638.94,21050,15648,1.01,0.52,1.13,0.32,57.3,1.3,3.5,2.71,4.09,11.76,10.09,41.05,3.8,0.6,830,129.9,129.9
1846,50688,42349,58825,51697,28.5495,3.3834,4.5,4165,3137,487.59,594.09,649,21264,15841,1.01,0.54,1.26,11.88,53.3,1.36,3,3.29,4.2,12.57,11.33,42.31,2.8,0.4,826,127.3,127.3
1847,49980,41858,58026,50974,27.8192,3.3361,0.69,4335,3863,516.97,628.29,677.97,21478,16035,1.08,0.55,1.36,7.15,51.01,1.46,5,5.29,3.54,10.08,9.07,43.54,-3,-0.4,832,122.7,122.7
1848,51495,42828,59733,52519,29.1613,3.4372,1.32,4253,3684,480.66,588.64,647.71,21693,16230,0.99,0.53,1.16,-14.4,57.09,1.21,3,3.63,3.44,10.06,8.48,40.74,-1.2,-0.2,831,128.4,128.4
1849,52159,43084,60623,53197,30.0151,3.4816,0.28,5495,4230,477.88,589.58,660.33,21908,16426,0.97,0.52,1.11,-4.09,58.47,1.15,2.5,2.92,3.36,10.8,9.05,38.63,1.6,0.2,829,125.5,125.5
1850,51526,42485,59878,52551,29.6191,3.4393,-3.25,5841,4075,442.07,546.2,610.53,22123,16622,0.91,0.52,1.07,-4.26,60.78,1.18,3,2.54,3.99,11.3,9.36,39.52,2.4,0.4,824,134.9,134.9
1851,53894,44345,62607,54966,30.9614,3.5974,-1.08,6187,4360,452.1,560.37,627.83,22338,16820,0.9,0.52,1.04,-2.1,62.08,1.16,3,3,4.28,11.67,10.02,40.83,2.3,0.4,818,130.3,130.3
1852,55609,45692,64595,56716,31.9417,3.7118,-0.25,6505,4230,468.91,581.59,650.24,22564,17018,0.9,0.53,1.06,1.37,62.06,1.2,2,2.13,5.53,12.56,10.38,49.48,2,0.3,814,125.1,125.1
1853,57530,47353,66869,58675,32.7964,3.8401,0.86,7489,4995,529.27,655.29,727.01,22789,17218,0.98,0.56,1.22,15.66,56.99,1.45,5,3.79,5.11,12.08,10.42,56.51,2.7,0.4,804,110.5,110.5
1854,59762,49449,69367,60951,33.5254,3.989,2.43,7448,4822,582.84,717.51,782.4,23015,17418,1.03,0.59,1.32,7.91,55.82,1.57,5,5.13,5.15,9.63,8.44,58.49,-5.5,-0.7,806,103,103
1855,59413,48944,68884,60595,33.664,3.9657,-0.31,7618,4417,578.21,715.24,788.57,23241,17618,1.04,0.6,1.35,1.97,56.08,1.53,7,5,5.37,8.42,7.4,63.42,-19.2,-2.4,827,104.9,104.9
1856,62294,51179,72193,63534,35.5078,4.1581,2.32,8758,5224,603.02,747.97,829.61,23466,17820,1.04,0.61,1.35,0.53,56.69,1.53,6,5.92,6.12,8.67,7.85,66.16,-8.8,-1.1,836,100.8,100.8
1857,62632,51612,72707,63878,35.3868,4.1806,0.81,8852,5245,603.04,745.98,820.81,23689,18021,1.03,0.61,1.32,-2.32,57.5,1.62,8,6.63,5.91,8.23,7.49,68.07,-2,-0.2,833,101.4,101.4
1858,62362,51370,72480,63603,35.2451,4.1626,-1.65,8805,5287,575.05,711.93,784.5,23914,18223,0.98,0.59,1.19,-10.16,62.12,1.42,2.5,3.04,6.64,9.52,7.93,66.14,-0.7,-0.1,829,105.7,105.7
1859,65042,53465,75400,66336,36.9305,4.3415,0.52,9612,5654,612.08,759.02,839.25,24138,18426,1.01,0.6,1.2,0.98,62.07,1.46,2.5,2.79,7.01,10.48,8.62,66,0.3,0,824,98.2,98.2
1860,66378,54738,77082,67698,37.3519,4.4306,0.49,10168,6458,632.84,782.08,856.54,24360,18629,1.01,0.61,1.29,7.84,59.19,1.51,6,4.38,7.48,9.13,8.03,66.37,-2.3,-0.3,822,96,96
1861,67646,55782,78497,68991,38.0408,4.5153,0.26,9829,6831,655.8,810.8,888.27,24585,18833,1.03,0.62,1.31,1.18,59.23,1.49,3,5.17,7.31,7.97,7.16,70.17,-3.3,-0.4,821,92.5,92.5
1862,66904,55285,77711,68235,37.9338,4.4658,-3.05,9354,6976,662.08,816.57,891.02,24862,19073,1.05,0.62,1.3,-0.62,60.05,1.56,3,2.58,7.99,8.48,7.32,74.77,-2,-0.2,821,92.2,92.2
1863,70496,58444,81695,71898,39.9682,4.7055,-0.16,10060,7043,725.62,891.41,964.2,25142,19315,1.09,0.62,1.25,-3.99,62.42,1.6,7,4.42,8.74,8.34,7.21,80.7,0.1,0,818,84.9,84.9
1864,71328,59235,82739,72747,40.4514,4.7611,-1.43,10053,7046,765.82,939.13,1012.23,25425,19561,1.14,0.63,1.23,-1.15,63.91,1.62,6,7.17,9.55,7.51,6.6,85.12,1.4,0.1,814,80.4,80.4
1865,74757,62081,86675,76244,42.0077,4.9899,0.69,10962,7466,774.7,950.77,1028.31,25712,19810,1.1,0.65,1.25,1.74,64.66,1.57,7,4.75,9.84,7.22,6.29,86.58,0.1,0,806,78.4,78.4
1866,75615,62864,87797,77119,42.3457,5.0472,-0.85,11783,8171,800.61,981.9,1061.23,26003,20062,1.12,0.67,1.33,6.35,62.97,1.58,3.5,6.63,9.49,6.84,6.07,85.51,0.3,0,802,75.5,75.5
1867,76047,63140,88388,77560,42.2733,5.076,-3.07,11973,8044,789.03,969.36,1053.75,26296,20317,1.1,0.68,1.41,5.3,60.36,1.54,2,2.46,9.19,7.8,6.68,82.04,-2.9,-0.3,799,75.8,75.8
1868,79038,65704,91818,80610,43.9076,5.2757,-2.08,12855,8633,798.96,980.19,1063.86,26594,20575,1.07,0.67,1.36,-2.99,61.77,1.53,3,2.13,9.7,8.03,6.79,84.48,-4.5,-0.4,798,75,75
1869,80781,67331,93878,82388,45.1347,5.392,-2.81,13445,8911,824.75,1008.54,1088.02,26896,20837,1.07,0.67,1.27,-6.57,65.49,1.51,3,3.13,10.44,7.45,6.49,83.67,3.8,0.3,794,73,73
1870,87553,73072,101221,89295,48.687,5.8441,2.36,14320,9376,882.87,1077.8,1159.9,27201,21102,1.06,0.68,1.28,0.42,66.32,1.49,2.5,3.08,11.29,7.82,6.67,88.13,2,0.2,789,68,68
1871,92367,77196,107008,94205,51.18,6.1654,4.95,16609,10964,947.94,1155.96,1242.9,27516,21376,1.08,0.7,1.31,2.8,66.57,1.54,3,2.92,13.55,7.71,6.5,95.42,2.5,0.2,785,63.2,63.2
1872,92476,77263,107484,94316,51.2289,6.1727,2.49,16805,11014,1000,1220,1312,27855,21669,1.13,0.74,1.37,4.22,67.34,1.69,5,4.04,13.99,7.55,6.39,96.43,5.2,0.4,779,59.4,59.4
1873,92935,77675,108196,94783,51.6199,6.2033,0.63,16216,11510,1047,1277,1371,28198,21966,1.18,0.78,1.38,0.78,70.31,1.7,5.5,4.75,14.26,7.41,6.2,96.8,2.2,0.2,773,56.4,56.4
1874,96998,81141,112689,98928,53.7708,6.4745,2.77,16412,11708,1046,1276,1367,28545,22266,1.13,0.77,1.32,-4.54,73.36,1.57,6,3.79,14.09,6.42,5.44,97.12,0.7,0,768,56.2,56.2
1875,97771,81637,113836,99716,54.2596,6.5261,1.61,16478,12403,1020,1246,1338,28897,22571,1.09,0.77,1.3,-1.49,74.01,1.47,4,3.17,14.59,6.09,5.32,98.15,0.7,0.1,769,57.5,57.5
1876,98094,81851,114313,100045,54.6018,6.5476,0.17,16412,12700,1006,1229,1321,29254,22880,1.08,0.77,1.3,0.21,74.07,1.44,2,2.46,15.05,6.61,5.73,95.21,1,0.1,769,58.2,58.2
1877,98937,82453,115398,100906,54.8951,6.6039,-0.64,16805,12998,991,1212,1306,29616,23194,1.05,0.77,1.3,-0.07,74.12,1.44,4,2.92,15.74,7.39,6.26,93.51,-1.2,-0.1,770,59,59
1878,99274,82800,115250,101249,55.335,6.6264,-1.92,17066,13097,974,1191,1281,29983,23511,1.03,0.76,1.26,-3.03,75.26,1.34,5,3.75,15.18,7.15,6.18,92.55,-1.7,-0.1,772,60.2,60.2
1879,97299,80947,113309,99234,54.1129,6.4946,-5.53,18178,13593,934,1144,1233,30354,23833,1.01,0.75,1.2,-4.47,77.38,1.28,3,2.38,17.17,8.49,7.11,90.31,-6.6,-0.5,771,62.5,62.5
1880,104989,87683,121376,107077,58.3657,7.0079,0.46,20009,14635,1007,1229,1316,30731,24159,1.01,0.75,1.23,2.01,76.21,1.35,3,2.75,18.93,8.23,6.85,88.04,-1.1,-0.1,767,58.3,58.3
1881,107694,89818,124713,109837,59.5389,7.1884,1.38,21447,14288,1020,1247,1335,31094,24474,1,0.76,1.21,-1.24,77.87,1.3,5,3.54,21.38,7.67,6.36,90.89,0.9,0.1,761,57,57
1882,109564,91374,126792,111743,60.5654,7.3132,1.51,21840,15032,1050,1284,1374,31403,24797,1.01,0.76,1.22,0.15,78.53,1.3,5,4.17,21.02,6.9,5.99,92.33,0.4,0,755,55,55
1883,113095,94390,130545,115344,62.5207,7.5489,3.13,22624,15875,1056,1290,1380,31717,25013,0.99,0.77,1.22,0,78.91,1.27,3,3.46,20.48,6.93,5.91,89.46,0.7,0,748,54.2,54.2
1884,111824,93369,129038,114048,61.983,7.4641,0.47,22494,15330,1028,1256,1341,32033,25292,0.97,0.76,1.17,-3.44,81.33,1.17,5,3.04,20.52,6.94,5.93,90.03,-0.2,0,741,55.3,55.3
1885,110492,92272,127654,112690,61.4453,7.3752,-2.27,21643,15479,1008,1231,1312,32353,25574,0.96,0.76,1.13,-3.47,83.32,1.11,4,2.83,20.38,7.34,6.11,89.06,-2.1,-0.2,741,56.5,56.5
1886,110923,92670,128038,113130,61.8853,7.404,-3.48,22232,15627,1017,1241,1320,32677,25859,0.97,0.75,1.12,-0.9,83.35,1.07,5,3.08,20.13,7.04,5.89,89.04,-0.1,0,738,55.9,55.9
1887,115760,96792,133523,118063,64.4272,7.7269,-0.89,23474,16520,1060,1292,1371,33005,26148,0.97,0.75,1.1,-2.01,85.49,1.06,4,3.25,20.03,6.97,5.83,85.33,2.5,0.2,713,52,52
1888,119893,100156,138189,122278,66.4802,8.0027,0.88,24913,17066,1097,1337,1422,33336,26440,0.97,0.76,1.1,-0.21,86.83,1.08,5,3.29,22.07,7.04,5.93,88.2,3.3,0.2,699,49.2,49.2
1889,123776,103469,142655,126238,68.631,8.2619,2.29,26025,18554,1157,1409,1495,33670,26735,0.99,0.78,1.11,0.82,87.91,1.11,6,3.67,23.47,6.66,5.62,90.64,3.9,0.3,691,46.2,46.2
1890,124945,104482,144047,127430,69.2176,8.3399,1.43,25959,18554,1185,1443,1530,34009,27003,1,0.81,1.11,0.41,90.71,1.1,5,4.58,23.73,6.56,5.44,93.64,3.3,0.2,685,44.8,44.8
1891,128750,107613,148547,131312,70.7819,8.5939,2.6,24717,18951,1182,1441,1533,34358,27304,0.97,0.82,1.12,0.81,91.22,1.1,3.5,3.33,23.03,6.83,5.78,94.95,2.7,0.2,679,44.3,44.3
1892,125265,104805,144670,127756,69.3154,8.3612,-2.04,24521,19249,1157,1410,1497,34736,27618,0.97,0.82,1.12,0.4,91.17,1.05,3,2.5,22.46,6.66,5.59,97.88,2.1,0.1,673,44.9,44.9
1893,123949,103785,143258,126415,68.8266,8.2735,-5.09,23147,18852,1159,1410,1496,35119,27936,0.98,0.82,1.1,-1.91,92.63,1.04,3,3.04,21.7,6.91,5.67,97.57,0.4,0,668,44.7,44.7
1894,130419,109370,150222,133013,72.2484,8.7053,-2.13,24324,20390,1226,1488,1573,35506,28257,0.99,0.82,1.07,-2.66,95.7,0.97,2,2.08,23.26,7.26,5.83,94.54,0.6,0,661,42,42
1895,134635,112908,155163,137313,74.5947,8.9867,-1.19,26090,21432,1252,1519,1608,35898,28582,0.98,0.82,1.06,-1.37,97.03,0.95,2,2,25.25,7.49,5.72,102.7,3.5,0.2,654,40.7,40.7
1896,140223,117844,161399,143012,77.8698,9.3597,0.56,27201,22622,1297,1571,1659,36294,28911,0.97,0.83,1.06,-0.21,98.45,0.94,4,2.58,27.4,9.61,7.08,103.3,3,0.2,647,39,39
1897,141821,119279,163651,144642,78.5542,9.4664,-0.63,27332,23119,1330,1611,1700,36694,29344,0.98,0.85,1.08,2.03,98.01,0.96,3,2.63,28.49,8.15,6.38,106.2,3.5,0.2,640,37.7,37.7
1898,149038,125559,171493,152003,82.3182,9.9481,2.05,27398,23912,1406,1700,1790,37099,29580,0.99,0.86,1.1,1.78,98.1,0.99,4,3.25,28.94,7.57,6.2,106.7,1.1,0.1,636,35.5,35.5
1899,154849,130684,177872,157929,85.3978,10.336,3.69,28705,24408,1496,1805,1895,37509,29921,1.01,0.88,1.09,-1.03,100.84,1.05,6,3.83,29.36,7.08,5.76,118.1,-10.3,-0.5,638,33.7,33.7
1900,154325,130372,177814,157395,84.86,10.301,1.28,27528,25053,1555,1875,1969,37923,30253,1.05,0.9,1.13,4.06,100,1.16,4,3.88,31.23,6.93,5.68,116.9,-71,-3.6,689,35,35
1901,158357,133938,181798,161507,86.962,10.5701,1.93,28248,26145,1569,1890,1984,38328,30594,1.04,0.91,1.13,-0.3,101.34,1.08,4,3.75,31.77,6.64,5.4,119.2,-83,-4.2,753,37.9,37.9
1902,160587,135940,184538,163782,88.1841,10.719,1.51,29425,26294,1577,1898,1994,38696,30907,1.03,0.91,1.13,0,101.34,1.07,4,3.29,32.62,6.97,5.65,119.9,-60,-3,791,39.7,39.7
1903,158697,134479,182394,161854,87.3531,10.5928,-1.41,30602,26194,1555,1870,1970,39068,31202,1.03,0.92,1.14,1.1,100.54,1.07,4,3.71,32.02,6.61,5.34,117.4,-28,-1.4,795,40.4,40.4
1904,160930,136523,184711,164131,88.4773,10.7419,-1.72,31125,26492,1560,1874,1973,39444,31522,1.01,0.92,1.14,-0.4,100.94,1.08,3,3.25,34.4,6.63,5.33,114.5,-18,-0.9,796,40.4,40.4
1905,166445,141307,190836,169756,91.1659,11.11,-0.06,33871,27187,1619,1944,2040,39823,31844,1.02,0.92,1.14,0.4,101.15,1.11,4,3.08,36.84,6.86,5.35,121,-10,-0.5,791,38.8,38.8
1906,170455,144815,195515,173846,93.4145,11.3777,0.6,36094,28080,1685,2022,2118,40206,32171,1.03,0.93,1.14,-0.1,102.48,1.18,6,4.33,39.17,6.99,5.67,122,-2,-0.1,782,36.9,36.9
